V,I,G,P,no_module_fault,fault,partial_shading
139.15887,9.87862,844.03321,1374.6975963594,0,0,0
140.80969,9.82015,844.15712,1382.7722772535,0,0,0
140.70826,9.86154,844.11028,1387.6001343204,0,0,0
136.16445,10.02088,843.51031,1364.487613716,0,0,0
138.20237,9.97054,843.56333,1377.9522581798,0,0,0
139.86878,9.94755,843.43196,1391.351682489,0,0,0
137.3597,9.97902,843.51798,1370.715193494,0,0,0
138.02097,10.00253,843.59548,1380.5588930541,0,0,0
137.97921,9.95403,843.61166,1373.4491957163,0,0,0
139.37332,9.93657,843.54587,1384.8927503124,0,0,0
137.36076,9.9482,843.48327,1366.492312632,0,0,0
136.64427,9.98376,843.17967,1364.2235970552,0,0,0
138.22818,9.95132,843.38065,1375.5528521976,0,0,0
135.42008,9.95149,843.70831,1347.6315719192,0,0,0
138.13146,9.96555,843.42749,1376.555971203,0,0,0
133.74147,9.94724,843.15647,1330.3585000428,0,0,0
140.61574,9.94742,843.49051,1398.7638243908,0,0,0
136.47532,9.94143,843.36085,1356.7598405076,0,0,0
137.86923,9.98213,843.39322,1376.2285768599,0,0,0
136.34838,9.96174,843.16456,1358.2671109812,0,0,0
135.12783,9.96819,843.11963,1346.9798837277,0,0,0
137.13563,9.99635,843.32722,1370.8557549505,0,0,0
137.93614,9.9577,843.43899,1373.526701278,0,0,0
137.13234,9.90303,842.48475,1358.0256769902,0,0,0
138.72587,9.84932,842.86692,1366.3554859084,0,0,0
138.58197,9.84718,842.93015,1364.6416033446,0,0,0
141.03593,9.86722,842.71959,1391.6325492146,0,0,0
139.2686,9.88047,842.84605,1376.039224242,0,0,0
139.72772,9.86112,842.87671,1377.8718142464,0,0,0
137.37058,9.87145,843.13177,1356.046811941,0,0,0
138.97716,9.9155,842.79048,1378.02802998,0,0,0
138.82664,9.87761,842.82263,1371.2754075304,0,0,0
139.8126,9.84314,842.92461,1376.194995564,0,0,0
138.58344,9.9098,842.97358,1373.334173712,0,0,0
138.72809,9.88947,843.01616,1371.9472842123,0,0,0
139.78936,9.86436,842.94974,1378.9325712096,0,0,0
139.64962,9.86952,843.00105,1378.2747175824,0,0,0
137.05379,9.86898,842.87373,1352.5811124342,0,0,0
140.80959,9.87019,843.16179,1389.8174071221,0,0,0
137.24668,9.87952,843.03085,1355.9313199936,0,0,0
136.4158,9.86542,842.77153,1345.799161636,0,0,0
139.79093,9.86108,843.2444,1378.4895440044,0,0,0
138.54052,9.88548,843.14752,1369.5395396496,0,0,0
140.18167,9.87337,843.2246,1384.0654951279,0,0,0
142.02761,9.85684,843.14752,1399.9434273524,0,0,0
136.09192,9.87328,842.96634,1343.6736318976,0,0,0
137.81517,9.89398,842.86755,1363.5405356766,0,0,0
141.35176,9.87691,843.33999,1396.1186118616,0,0,0
138.065,9.87317,843.45687,1363.13921605,0,0,0
142.42639,9.87762,843.19564,1406.8337583918,0,0,0
139.33931,9.88237,843.19969,1377.0026169647,0,0,0
138.34981,9.85519,843.28123,1363.4636640139,0,0,0
140.33215,9.84956,843.24503,1382.209931354,0,0,0
138.92984,9.85162,842.82774,1368.6839903408,0,0,0
139.07318,9.90534,842.61633,1377.5671327812,0,0,0
139.0376,9.90387,842.73683,1377.010315512,0,0,0
138.72556,9.8676,842.82072,1368.888335856,0,0,0
141.28222,9.87185,842.79751,1394.716883507,0,0,0
137.85501,9.88138,842.79389,1362.1977387138,0,0,0
139.93463,9.85933,842.79708,1379.6616955979,0,0,0
142.42381,9.86332,842.58609,1404.7716136492,0,0,0
141.30535,9.85142,842.62612,1392.058351097,0,0,0
138.4891,9.87494,842.87543,1367.571553154,0,0,0
137.72629,9.89978,843.32636,1363.4599712162,0,0,0
140.3326,9.82291,842.99338,1378.474499866,0,0,0
138.94497,9.84003,843.13688,1367.2226731491,0,0,0
136.40036,9.89764,843.096,1350.0416591504,0,0,0
138.74687,9.92966,843.33488,1377.7092451642,0,0,0
139.44089,9.89508,843.15072,1379.7787618212,0,0,0
138.24752,9.85078,843.00637,1361.8459050656,0,0,0
139.30312,9.87285,843.06172,1375.318808292,0,0,0
136.95368,9.92083,843.24333,1358.6941771544,0,0,0
